CODIGO_REGIONAL,NOMBRE_REGIONAL,CODIGO_CENTRO,NOMBRE_CENTRO,IDENTIFICADOR_UNICO_FICHA,FECHA_INICIO_FICHA,FECHA_TERMINACION_FICHA,CODIGO_PROGRAMA,VERSION_PROGRAMA,NOMBRE_PROGRAMA_FORMACION,NIVEL_FORMACION,MODALIDAD_FORMACION,TOTAL_APRENDICES_MATRICULADOS,DESERTORES_AÑO_ACTUAL,PERIODO,tasa_desercion,duracion_dias,duracion_meses,mes_inicio,año_inicio,tiene_desercion
76,REGIONAL VALLE,9228,CENTRO DE LA CONSTRUCCION,12737377,2023-03-28,2024-12-30,836137,1,MANTENIMIENTO Y REPARACION DE EDIFICACIONES.,TECNICO,PRESENCIAL,31,0,202402,0,643,21.2,3,2023,FALSE
20,REGIONAL CESAR,9521,CENTRO DE OPERACION Y MANTENIMIENTO MINERO,12730595,2023-03-17,2024-12-13,133100,2,CONTABILIZACION DE OPERACIONES COMERCIALES Y FINANCIERAS.,TECNICO,PRESENCIAL,29,0,202402,0,637,21,3,2023,FALSE
5,REGIONAL ANTIOQUIA,9503,"CENTRO DE LA INNOVACION, LA AGROINDUSTRIA Y LA AVIACION",12905502,2024-02-05,2024-02-10,63730741,1,BIOSEGURIDAD APLICADA A LA ESTETICA Y BELLEZA,CURSO ESPECIAL,PRESENCIAL,11,0,202402,0,5,0.2,2,2024,FALSE
11,REGIONAL DISTRITO CAPITAL,9405,CENTRO DE SERVICIOS FINANCIEROS,12704171,2023-02-17,2024-12-16,233104,2,PROGRAMACION DE SOFTWARE .,TECNICO,PRESENCIAL,40,0,202402,0,668,22,2,2023,FALSE
8,REGIONAL ATLANTICO,9207,CENTRO NACIONAL COLOMBO ALEMAN,12907915,2024-02-01,2024-04-04,94150003,1,APLICACION DE SOLDADURA SMAW EN ACEROS AL CARBONO,CURSO ESPECIAL,PRESENCIAL,24,0,202402,0,63,2.1,2,2024,FALSE
76,REGIONAL VALLE,9544,CENTRO DE BIOTECNOLOGIA INDUSTRIAL,12908848,2024-02-15,2024-04-25,01000023,1,"APLICACION DE HERRAMIENTAS METODOLOGICAS EN INVESTIGACION: PROCESOS DE CIENCIA, TECNOLOGIA E INNOVACION",CURSO ESPECIAL,PRESENCIAL,30,0,202402,0,70,2.3,2,2024,FALSE
5,REGIONAL ANTIOQUIA,9203,CENTRO PARA EL DESARROLLO DEL HABITAT Y LA CONSTRUCCION,12925868,2024-02-26,2024-02-27,22620496,1,JEFES DE AREA PARA TRABAJO EN ALTURAS,CURSO ESPECIAL,PRESENCIAL,8,0,202402,0,1,0,2,2024,FALSE
73,REGIONAL TOLIMA,9226,CENTRO DE INDUSTRIA Y CONSTRUCCION,12914536,2024-02-14,2024-11-14,935100,1,MANEJO DE MAQUINARIA DE CONFECCION INDUSTRIAL.,OPERARIO,PRESENCIAL,27,0,202402,0,274,9,2,2024,FALSE
20,REGIONAL CESAR,9114,CENTRO BIOTECNOLOGICO DEL CARIBE,12916054,2024-02-15,2024-02-28,73310023,1,APLICACION DE LAS BUENAS PRACTICAS AGRICOLAS,CURSO ESPECIAL,PRESENCIAL,20,0,202402,0,13,0.4,2,2024,FALSE
76,REGIONAL VALLE,9228,CENTRO DE LA CONSTRUCCION,12640439,2022-09-12,2024-03-15,836600,1,PINTURA ARQUITECTONICA Y ACABADOS ESPECIALES,TECNICO,PRESENCIAL,17,0,202402,0,550,18.1,9,2022,FALSE
